feature,imp_rf,imp_xgb,rank_rf,rank_xgb
LOG_POPULACAO,0.165351780896556,0.057403382,1,9
T_AGUA,0.13022831149787728,0.07460404,2,5
T_ANALF15M,0.1021021322690679,0.067183144,3,7
RDPC,0.10169709689991699,0.07190758,4,6
PMPOB,0.08926741302855877,0.06545835,5,8
LOG_DESPESA_SAUDE_PC,0.0847043944391945,0.036347717,6,14
ESPVIDA,0.08251877105898672,0.05721813,7,10
LOG_PIB_PER_CAPITA,0.0819090513480065,0.033224504,8,15
IDHM,0.05825496751840027,0.047753327,9,12
GINI,0.04494042227452563,0.043948114,10,13
REG_S,0.012823880594798803,0.085642755,11,2
ANO_2024,0.012291993747635467,0.049760513,12,11
REG_N,0.012019613125278482,0.11535665,13,1
REG_SE,0.00997218054694207,0.0851559,14,3
ANO_2023,0.009183275652933113,0.029618327,15,16
REG_NE,0.002734715101321532,0.079417475,16,4
